sep=; 
ID;GEOID;Name;Short Name;Total Enrollment (FY23);Revenue: MAEP (FY24);Revenue: MAEP PP (FY24);Revenue: Local (FY22);Revenue: Local PP (FY22);Revenue: Total (MAEP + Local);Revenue: Total PP (MAEP + Local);Revenue: Federal (FY22);Revenue: Federal PP (FY22);Projected Revenue: State Formula;Projected Revenue: State Formula PP;Projected Revenue: Total (State + Local);Projected Revenue: Total PP (State + Local);Change in Revenue: Total (State + Local);Change in Revenue: Total PP (State + Local);Assessed Value (FY22);Assessed Value PP (FY22);Direct Certification % (FY24);Census Poverty % (FY21);ELL % (FY23);Vocational % (FY23);SPED Tier 1 %;SPED Tier 2 %;SPED Tier 3 %;Students per Square Mile;Calculations: Weighted Enrollment;Calculations: Formula Amount;Calculations: Mills Rule Expectation;Calculations: Maximum % Expectation;Calculations: Sparsity Multiplier %
1821;2803530;PETAL;PETAL;4392;25101187;5715;13747527;3130;38848714;8845;8976629;2043;24716949;5627;38464476;8757;-384237;-87;227593990;51820;0.2;0.16;0.03;0.27;0.105;0.094;0.007;46.9;5181;31089580;6372631;8394186;0
5020;2803600;PHILADELPHIA;PHILADELPHI;829;4553142;5492;3480176;4198;8033318;9690;2932252;3537;4459131;5378;7939308;9576;-94010;-113;61447733;74122;0.51;0.32;0.01;0.07;0.107;0.127;0.012;130.9;1018;6108399;1720536;1649267;0
5520;2803630;PICAYUNE;PICAYUNE;3431;17167708;5003;11216053;3269;28383761;8272;14487290;4222;19833278;5780;31049331;9049;2665570;776;189385894;55198;0.36;0.26;0.03;0.32;0.072;0.069;0.007;18.1;4189;25136083;5302805;6786742;0
5820;2803690;PONTOTOC CITY;PONTOTOC CI;2302;13678069;5941;5004069;2173;18682138;8115;6264580;2721;14222587;6178;19226656;8352;544518;236;87056850;37817;0.23;0.21;0.11;0.3;0.134;0.094;0.007;23;2776;16660179;2437591;4498248;0
5800;2803660;PONTOTOC COUNTY;PONTOTOC CO;3466;21157138;6104;7625327;2200;28782465;8304;9778673;2821;21069444;6078;28694771;8278;-87693;-25;118922581;34311;0.19;0.21;0.06;0.3;0.103;0.051;0.008;8.7;4066;24399276;3329832;6587804;0
5530;2803720;POPLARVILLE;POPLARVILLE;1909;10482300;5490;6485300;3397;16967600;8888;5764252;3019;10096073;5288;16581373;8685;-386226;-202;114175246;59808;0.23;0.2;0.01;0.21;0.07;0.08;0.005;3.9;2215;13292980;3196906;3589104;0
5900;2803750;PRENTISS COUNTY;PRENTISS CO;2278;14392968;6318;5215941;2289;19608909;8607;8944435;3926;13951321;6124;19167262;8414;-441646;-193;89113764;39119;0.21;0.19;0;0.36;0.164;0.091;0.004;6.1;2741;16446506;2495185;4440556;0
6000;2803810;QUITMAN COUNTY;QUITMAN COU;852;5063620;5943;3629841;4260;8693461;10203;6196847;7273;4757820;5584;8387662;9844;-305799;-358;77936585;91474;0.45;0.44;0;0.46;0.088;0.069;0.006;2.1;1086;6517563;2182224;1759742;0
1212;2803780;QUITMAN SEP;QUITMAN SEP;1593;8760615;5499;7013617;4402;15774232;9902;4387493;2754;8699190;5460;15712808;9863;-61424;-38;121991445;76579;0.43;0.35;0;0.29;0.08;0.109;0.009;3.1;1986;11916699;3415760;3217508;0
6100;2803830;RANKIN COUNTY;RANKIN COUN;18720;95582277;5105;92575401;4945;188157678;10051;31538902;1684;95378634;5095;187954036;10040;-203642;-10;1665040971;88944;0.14;0.12;0.02;0.35;0.088;0.056;0.004;25;21775;130655664;46621147;35277029;0
2515;.;REIMAGINE PREP;REIMAGINE P;514;3341925;6501;1808680;3518;5150605;10020;2311750;4497;2880641;5604;4689321;9123;-461283;-897;34721469;67551;0.58;0.4;0.01;0.29;0.027;0.064;0;NaN;642;3852842;972201;1040267;0
5620;2803870;RICHTON;RICHTON;597;3443637;5768;1383928;2318;4827565;8086;2450604;4104;3481443;5831;4865371;8149;37806;63;26925232;45100;0.22;0.28;0;0.35;0.099;0.067;0;4.8;705;4235350;753906;1143544;0
7012;2804110;S. TIPPAH;S. TIPPAH;2485;15350520;6177;5824874;2344;21175394;8521;7482767;3011;14938835;6011;20763709;8355;-411684;-165;93966166;37813;0.18;0.28;0.06;0.27;0.133;0.101;0.004;9.5;2928;17569887;2631052;4743869;0
6200;2803900;SCOTT COUNTY;SCOTT COUNT;3989;24135040;6050;6490353;1627;30625393;7677;15308976;3837;24568726;6159;31059080;7786;433686;108;123366956;30926;0.23;0.27;0.1;0.22;0.095;0.08;0.004;7.7;4670;28023001;3454274;7566210;0
6920;2803930;SENATOBIA;SENATOBIA;1666;8925113;5357;6807959;4086;15733072;9443;6195274;3718;9085121;5453;15893081;9539;160008;96;99947674;59992;0.28;0.2;0.01;0.23;0.124;0.086;0.006;37.7;1980;11883656;2798534;3208587;0
6400;2803990;SIMPSON COUNTY;SIMPSON COU;3008;17736834;5896;11132884;3701;28869718;9597;10928964;3633;16387529;5447;27520414;9149;-1349304;-448;256827504;85381;0.33;0.29;0.02;0.4;0.096;0.094;0.007;5.1;3741;22448671;7191170;6061141;0
2505;.;SMILOW COLLEGIATE;SMILOW COLL;569;3195835;5616;2050595;3603;5246430;9220;2297325;4037;2889573;5078;4940168;8682;-306261;-538;38436801;67551;0.55;0.4;0.01;0;0.056;0.035;0;NaN;659;3958319;1076230;1068746;0
2535;.;SMILOW PREP;SMILOW PREP;577;3331298;5773;2015009;3492;5346307;9265;1881336;3260;3160762;5477;5175771;8970;-170535;-295;38977213;67551;0.53;0.4;0.01;0.26;0.028;0.026;0.009;NaN;708;4252124;1091361;1148073;0
6500;2804020;SMITH COUNTY;SMITH COUNT;2443;13151414;5383;6370545;2607;19521959;7990;5750282;2353;12540807;5133;18911352;7741;-610606;-249;163455234;66907;0.23;0.24;0;0.25;0.054;0.065;0.009;3.8;2852;17117553;4576746;4621739;0
6312;2803960;SOUTH DELTA;SOUTH DELTA;604;3813255;6313;2496558;4133;6309813;10446;3274558;5421;3360867;5564;5857426;9697;-452387;-748;79472422;131576;0.65;0.5;0;0.24;0.093;0.056;0.008;0.8;767;4603928;2225227;1243060;0
5412;2804050;SOUTH PANOLA;SOUTH PANOL;4313;22847199;5297;13181107;3056;36028306;8353;12557599;2911;25585054;5932;38766161;8988;2737855;634;201817123;46792;0.33;0.33;0.01;0.3;0.088;0.079;0.003;11.2;5205;31235933;5650879;8433702;0
5712;2804080;SOUTH PIKE;SOUTH PIKE;1557;8165560;5244;5294228;3400;13459788;8644;5536574;3555;8627302;5540;13921530;8941;461742;296;110835209;71185;0.45;0.33;0;0.39;0.078;0.069;0.006;6.5;1955;11730688;3103385;3167285;0
5321;2800189;STARKVILLE OKTIBBEHA;STARKVILLE;4894;24494240;5004;31135336;6361;55629576;11366;15583249;3184;26126141;5338;57261477;11700;1631901;333;471472708;96336;0.35;0.24;0.02;0.34;0.07;0.079;0.002;10.7;5964;35789234;13201235;9663093;0
6600;2804170;STONE COUNTY;STONE COUNT;2518;13940623;5536;7227078;2870;21167701;8406;10053634;3992;14478974;5750;21706053;8620;538351;213;132638729;52676;0.29;0.23;0.01;0.36;0.069;0.061;0.006;5.7;3032;18192858;3713884;4912071;0
6711;2800187;SUNFLOWER CONS;SUNFLOWER C;2929;15674631;5351;12419498;4240;28094129;9591;12902524;4405;16545695;5648;28965194;9889;871064;297;216486648;73911;0.57;0.61;0;0.37;0.051;0.09;0.005;4.2;3767;22607321;6061626;6103976;0
6900;2804230;TATE COUNTY;TATE COUNTY;2014;11336853;5629;5934089;2946;17270942;8575;7219167;3584;11359655;5640;17293744;8586;22802;11;121396319;60276;0.3;0.2;0.04;0.36;0.095;0.079;0.005;5.6;2459;14758751;3399096;3984863;0
7100;2804260;TISHOMINGO;TISHOMINGO;2897;15749313;5436;10142771;3501;25892084;8937;12096886;4175;15132578;5223;25275349;8724;-616734;-212;196026084;67665;0.18;0.19;0.03;0.35;0.104;0.077;0.005;6.8;3436;20621308;5488730;5567753;0
7200;2804290;TUNICA COUNTY;TUNICA COUN;1671;8744306;5232;14461914;8654;23206220;13887;6049221;3620;9291707;5560;23753621;14215;547401;327;191329023;114499;0.59;0.42;0.01;0.31;0.039;0.065;0.006;3.7;2121;12728366;5357212;3436658;0
4120;2804320;TUPELO;TUPELO;7132;35665419;5000;40188126;5634;75853545;10635;17584101;2465;36715804;5148;76903931;10782;1050385;147;626008357;87774;0.29;0.21;0.05;0.19;0.077;0.071;0.007;98.7;8382;50295622;17528233;13579817;0
5131;2804380;UNION CITY;UNION CITY;927;6317744;6815;1613482;1740;7931226;8555;3247612;3503;6044141;6520;7657624;8260;-273602;-295;25023070;26993;0.24;0.27;0;0.34;0.162;0.086;0.011;13;1124;6744787;700645;1821092;0
7300;2804350;UNION COUNTY;UNION COUNT;2980;17294844;5803;7657298;2569;24952142;8373;6419076;2154;17871251;5997;25528550;8566;576407;193;102684660;34457;0.17;0.19;0.01;0.27;0.097;0.065;0.007;8.8;3457;20746421;2875170;5601533;0
7500;2804470;VICKSBURG WARREN;VICKSBURG W;6862;36271376;5285;39766946;5795;76038322;11081;19995701;2913;37454417;5458;77221364;11253;1183041;172;625214795;91112;0.45;0.33;0.01;0.38;0.074;0.055;0.003;11.7;8551;51307421;17506014;13853003;0
618;2800185;W. BOLIVAR CONS;W. BOLIVAR;938;6644042;7083;4263046;4544;10907088;11628;4751804;5065;5242832;5589;9505879;10134;-1401209;-1493;98397810;104901;0.59;0.51;0.01;0.29;0.099;0.065;0.011;1.7;1196;7181962;2755138;1939129;0
6812;2804650;W. TALLAHATCHIE;W. TALLAHAT;513;3923468;7648;2443868;4763;6367336;12411;2606776;5081;2811751;5480;5255620;10244;-1111716;-2167;76607096;149331;0.44;0.46;0;0.29;0.094;0.066;0.019;1.8;641;3851714;2144998;1039962;0
7400;2804440;WALTHALL COUNTY;WALTHALL CO;1684;9795183;5816;5651277;3355;15446460;9172;5317377;3157;9252397;5494;14903674;8850;-542785;-322;112434563;66766;0.33;0.33;0.01;0.37;0.075;0.076;0.006;4.2;2066;12400565;3148167;3348152;0
8113;2804500;WATER VALLEY;WATER VALLE;1041;6101798;5861;2699399;2593;8801197;8454;3223381;3096;6131267;5889;8830666;8482;29469;28;51083389;49071;0.31;0.32;0.01;0.35;0.081;0.071;0.005;8;1260;7561602;1430334;2041632;0
7700;2804530;WAYNE COUNTY;WAYNE COUNT;2900;18124629;6249;7796670;2688;25921299;8938;16482650;5683;17151046;5914;24947716;8602;-973582;-335;164650129;56775;0.44;0.32;0.02;0.33;0.138;0.073;0.008;3.6;3626;21761250;4610203;5875537;0
7800;2804560;WEBSTER COUNTY;WEBSTER COU;1739;10043683;5775;4015421;2309;14059104;8084;4977047;2862;10418801;5991;14434222;8300;375118;215;77678926;44668;0.22;0.24;0.01;0.38;0.107;0.082;0.006;4.1;2098;12593811;2175009;3400329;0
3112;2804590;WEST JASPER;WEST JASPER;1411;7883905;5587;5335260;3781;13219165;9368;3560080;2523;7473692;5296;12808953;9077;-410212;-290;115852167;82106;0.32;0.24;0.01;0.27;0.14;0.071;0.011;4.1;1706;10237935;3243860;2764242;0
1321;2800191;WEST POINT CONS;WEST POINT;2609;13964393;5352;9719600;3725;23683993;9077;12580623;4822;14176659;5433;23896259;9159;212266;81;219104668;83980;0.42;0.31;0;0.33;0.08;0.082;0.007;6.4;3236;19420081;6134930;5243422;0
7613;2804680;WESTERN LINE;WESTERN LIN;1632;8385003;5137;8961731;5491;17346734;10629;7532207;4615;8873259;5437;17834991;10928;488256;299;179443049;109952;0.44;0.29;0;0.34;0.099;0.045;0.009;4.6;2025;12155150;5024405;3281890;0
7900;2804710;WILKINSON COUNTY;WILKINSON C;891;4986174;5596;2720037;3052;7706211;8648;3755479;4214;4886799;5484;7606837;8537;-99374;-111;68465888;76841;0.47;0.36;0.01;0.38;0.091;0.071;0;1.3;1115;6694246;1917044;1807446;0
4911;2800196;WINONA-MONTG CONS;WINONA-MONT;1144;6583183;5754;3512742;3070;10095925;8825;6588468;5759;6516992;5696;10029734;8767;-66190;-57;72225914;63134;0.43;0.31;0;0.28;0.1;0.086;0.013;2.8;1423;8539317;2022325;2305615;0
8220;2804770;YAZOO CITY;YAZOO CITY;2029;12249457;6037;2952057;1454;15201514;7492;7187346;3542;13922177;6861;16874234;8316;1672720;824;58670267;28915;0.64;0.44;0;0.32;0.074;0.053;0.005;201.2;2594;15564944;1642767;4202535;0
8200;2804800;YAZOO COUNTY;YAZOO COUNT;1320;7391658;5599;7529716;5704;14921374;11304;5294693;4011;6995841;5299;14525557;11004;-395816;-299;233407298;176823;0.4;0.29;0.01;0.21;0.086;0.073;0.011;1.4;1597;9583344;6535404;2587502;0
